SOURCE_FILE,OACI,CIAD,NAME,MUNICIPIO,UF,ALT_M,OPERAÇÃO,OP_DIURNA,OP_NOTURNA,LAT_DD,LON_DD,N_RWYS,RUNWAY1_D_NM,RUNWAY2_D_NM,RUNWAY3_D_NM,RUNWAY1_LEN_M,RUNWAY2_LEN_M,RUNWAY3_LEN_M,RUNWAY1_WID_M,RUNWAY2_WID_M,RUNWAY3_WID_M,DATASET_TYPE
2025_08_22_BR_aerodromes_public,SBAA,PA0008,CONCEIÇÃO DO ARAGUAIA,CONCEIÇÃO DO ARAGUAIA,PA,199.0,VFR Diurno/Noturno e IFR Diurno,,,-8.348611111111111,-49.30305555555555,1,80.0,,,1800.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SBAE,SP0010,BAURU/AREALVA,BAURU,SP,598.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-22.157777777777778,-49.068333333333335,1,170.0,,,2010.0,,,45.0,,,heliport
2025_08_22_BR_aerodromes_public,SBAQ,SP0012,BARTOLOMEU DE GUSMÃO,ARARAQUARA,SP,711.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-21.811944444444446,-48.13305555555556,1,170.0,,,1800.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SBAR,SE0001,SANTA MARIA,ARACAJU,SE,7.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-10.985277777777776,-37.07333333333334,1,120.0,,,2200.0,,,45.0,,,heliport
2025_08_22_BR_aerodromes_public,SBAT,MT0003,PILOTO OSVALDO MARQUES DIAS,ALTA FLORESTA,MT,289.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-9.866388888888888,-56.105000000000004,1,40.0,,,2500.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SBAU,SP0009,ARAÇATUBA,ARAÇATUBA,SP,414.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-21.144166666666667,-50.42638888888889,1,50.0,,,2120.0,,,35.0,,,heliport
2025_08_22_BR_aerodromes_public,SBAX,MG0008,ROMEU ZEMA,ARAXÁ,MG,998.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-19.563055555555557,-46.96055555555556,1,160.0,,,1900.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SBBE,PA0001,INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO,BELÉM,PA,17.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-1.3847222222222222,-48.47888888888889,2,70.0,30.0,,2800.0,1830.0,,45.0,45.0,,heliport
2025_08_22_BR_aerodromes_public,SBBG,RS0010,COMANDANTE GUSTAVO KRAEMER,BAGÉ,RS,182.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-31.390833333333333,-54.109722222222224,1,60.0,,,1500.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SBBH,MG0003,PAMPULHA - CARLOS DRUMMOND DE ANDRADE,BELO HORIZONTE,MG,789.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-19.851944444444445,-43.95055555555556,1,130.0,,,2364.0,,,45.0,,,heliport
2025_08_22_BR_aerodromes_public,SBBI,PR0006,BACACHERI,CURITIBA,PR,931.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-25.403333333333332,-49.23361111111111,1,180.0,,,1221.0,,,31.0,,,heliport
2025_08_22_BR_aerodromes_public,SBBP,SP0036,ESTADUAL ARTHUR SIQUEIRA,BRAGANÇA PAULISTA,SP,893.0,VFR Diurno/Noturno,,,-22.978888888888886,-46.53722222222222,1,160.0,,,1200.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SBBR,DF0001,PRESIDENTE JUSCELINO KUBITSCHEK,BRASÍLIA,DF,1066.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-15.869166666666667,-47.920833333333334,2,110.0,110.0,,3200.0,3300.0,,45.0,45.0,,heliport
2025_08_22_BR_aerodromes_public,SBBU,SP0017,BAURU,BAURU,SP,617.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-22.345,-49.053888888888885,1,140.0,,,1501.0,,,35.0,,,heliport
