CÓDIGO OACI;CIAD;NOME;MUNICÍPIO ATENDIDO;UF;LATITUDE;LONGITUDE;ALTITUDE;OPERAÇÃO;OACI;AIP BRASIL;DESIGNAÇÃO1;COMPRIMENTO1;LARGURA1;RESISTÊNCIA1;SUPERFÍCIE1;DESIGNAÇÃO2;COMPRIMENTO2;LARGURA2;RESISTÊNCIA2;SUPERFÍCIE2;DESIGNAÇÃO3;COMPRIMENTO3;LARGURA3;RESISTÊNCIA3;SUPERFÍCIE3;RAMPA(S) DE APROXIMAÇÃO;FORMATO DA ÁREA DE POUSO;DIMENSÕES;RESISTÊNCIA;SUPERFÍCIE;p1;p2;p3;p4;PORTARIAS;Unnamed: 36;Unnamed: 37;Unnamed: 38;Portaria nº 7.445/2022 e alterações posteriores;"PORTARIA Nº 7736/2022 e alterações posteriores
A Classe I se divide ainda em I-A, sem voo regular e I-B, com voo regular";"PORTARIA Nº 2007/2014 E ALTERAÇÕES
(* = REGIME TARIFÁRIO DIFERENCIADO)";AERONAVE CRÍTICA;TIPO DE APROX. (CABECEIRAS);FREQ. SEMANAL;r1;r2;REFERÊNCIA(S);RESTRIÇÃO(ÕES);SITUAÇÃO;r1.1;REFERÊNCIA;SITUADO NA AMAZÔNIA LEGAL;OBSERVAÇÕES;ICAO;TYPE;LATITUDE_d;LONGITUDE_d;ALTITUDE_m;DESIGNAÇÃO1_d_NM;COMPRIMENTO1_m;LARGURA1_m;DESIGNAÇÃO2_d_NM;COMPRIMENTO2_m;LARGURA2_m;DESIGNAÇÃO3_d_NM;COMPRIMENTO3_m;LARGURA3_m;N_RWYs
SBAA;PA0008;CONCEIÇÃO DO ARAGUAIA;CONCEIÇÃO DO ARAGUAIA;PA;8° 20' 55'' S;49° 18' 11'' W;199 m;VFR Diurno/Noturno e IFR Diurno;-;-; 08/26;1800 m;30 m;PCN 47/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-3953;0;0;0;PA2021-3953;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;X;-;SBAA;BR_publico_Atualizadoem_19JUL2022;-8,348611111;-49,30305556;199;80;1800;30;;;;;;;1
SBAE;SP0010;BAURU/AREALVA;BAURU;SP;22° 9' 28'' S;49° 4' 6'' W;598 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 17/35;2010 m;45 m;PCN 42/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4952;0;0;0;PA2021-4952;;;;AP-1;Classe I;3ª;4C;NPA;5;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SBAE;BR_publico_Atualizadoem_19JUL2022;-22,15777778;-49,06833333;598;170;2010;45;;;;;;;1
SBAQ;SP0012;BARTOLOMEU DE GUSMÃO;ARARAQUARA;SP;21° 48' 16'' S;48° 8' 25'' W;711 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 17/35;1800 m;30 m;PCN 40/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-2889;0;0;0;PA2017-2889;;;;AP-0;Classe I;3ª;3C;NPA;11;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SBAQ;BR_publico_Atualizadoem_19JUL2022;-21,80444444;-48,14027778;711;170;1800;30;;;;;;;1
SBAR;SE0001;SANTA MARIA;ARACAJU;SE;10° 59' 7'' S;37° 4' 24'' W;7 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 12/30;2200 m;45 m;PCN 48/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3773;0;0;0;PA2020-3773;;;;AP-2;Classe III;2ª;4C;"NPA(11;29)";;PA2022-7303 / PA2020-0406 / PA2021-4220;-;PA2022-7303 / PA2020-0406 / PA2021-4220;-;-;-;-;;-;SBAR;BR_publico_Atualizadoem_19JUL2022;-10,98527778;-37,07333333;7;120;2200;45;;;;;;;1
SBAT;MT0003;PILOTO OSVALDO MARQUES DIAS;ALTA FLORESTA;MT;9° 51' 59'' S;56° 6' 18'' W;289 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 04/22;2500 m;30 m;PCN 29/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-5745;0;0;0;PA2021-5745;;;;AP-1;Classe I;3ª;4C;NPA;15;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;X;-;SBAT;BR_publico_Atualizadoem_19JUL2022;-9,866388889;-56,105;289;40;2500;30;;;;;;;1
SBAU;SP0009;ARAÇATUBA;ARAÇATUBA;SP;21° 8' 39'' S;50° 25' 35'' W;414 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 05/23;2120 m;35 m;PCN 26/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-3951;0;0;0;PA2021-3951;;;;AP-1;Classe I;3ª;3C;NPA;32;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SBAU;BR_publico_Atualizadoem_19JUL2022;-21,14416667;-50,42638889;414;50;2120;35;;;;;;;1
SBAX;MG0008;ROMEU ZEMA;ARAXÁ;MG;19° 33' 38'' S;46° 57' 56'' W;999 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 15/33;1900 m;30 m;PCN 26/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD2005-1273;0;0;0;PD2005-1273;;;;AP-0;Classe I;3ª;3C;NPA;12;-;PA2016-0908;-;PA2016-0908;Proibição de operações de aeronaves de asa fixa com motor à reação (turbojato), exceto no caso de operações de emergência médica ou de transporte de valores realizadas mediante prévia coordenação com o Operador do Aeródromo.;PA2022-7874;PA2022-7874;;-;SBAX;BR_publico_Atualizadoem_19JUL2022;-19,56055556;-46,96555556;999;150;1900;30;;;;;;;1
SBBE;PA0001;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO;BELÉM;PA;1° 23' 5'' S;48° 28' 44'' W;17 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 06/24;2800 m;45 m;PCN 65/F/A/X/T;Asfalto; 02/20;1830 m;45 m;PCN 50/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;PA2016-1883;0;0;0;PA2016-1883;;;;AP-2;Classe III;1ª;4E;"PA1(06) / NPA(24;02;20)";;PA2017-3043;-;PA2017-3043;-;-;-;-;X;-;SBBE;BR_publico_Atualizadoem_19JUL2022;-1,384722222;-48,47888889;17;60;2800;45;20;1830;45;;;;2
SBBG;RS0010;COMANDANTE GUSTAVO KRAEMER;BAGÉ;RS;31° 23' 27'' S;54° 6' 35'' W;186 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS;INTL PAX; 06/24;1500 m;30 m;PCN 18/R/A/Y/T;Concreto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2459;0;0;0;PA2018-2459;;;;AP-1;Classe I;3ª;3C;NPA;;PA2022-7436;-;PA2022-7436;-;-;-;-;;-;SBBG;BR_publico_Atualizadoem_19JUL2022;-31,39083333;-54,10972222;186;60;1500;30;;;;;;;1
SBBH;MG0003;PAMPULHA - CARLOS DRUMMOND DE ANDRADE;BELO HORIZONTE;MG;19° 51' 7'' S;43° 57' 2'' W;789 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 13/31;2364 m;45 m;PCN 44/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-1295;0;0;0;PA2017-1295;;;;AP-0;Classe II;2ª;4C;NPA(13)/NINST(31);;PA2018-2829 / PA2019-1481;-;PA2018-2829 / PA2019-1481;-;-;-;-;;-;SBBH;BR_publico_Atualizadoem_19JUL2022;-19,85194444;-43,95055556;789;130;2364;45;;;;;;;1
SBBI;PR0006;BACACHERI;CURITIBA;PR;25° 24' 12'' S;49° 14' 1'' W;932 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 18/36;1390 m;31 m;PCN 21/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0533;0;0;0;PA2016-0533;;;;AP-0;Classe II;3ª;-;-;-;-;-;-;-;-;-;-;;-;SBBI;BR_publico_Atualizadoem_19JUL2022;-25,40333333;-49,23361111;932;180;1390;31;;;;;;;1
